MAPPING/ALIGNING SUMMARY,,Estimated sample contamination,0.0000
MAPPING/ALIGNING SUMMARY,,DRAGEN mapping rate [mil. reads/second],1.82
MAPPING/ALIGNING PER RG,HG002_23KCWCLT3_4,Total reads in RG,240697896,100.00
MAPPING/ALIGNING PER RG,HG002_23KCWCLT3_4,Number of duplicate marked reads,11305631,4.70
MAPPING/ALIGNING PER RG,HG002_23KCWCLT3_4,Number of duplicate marked and mate reads removed,NA
MAPPING/ALIGNING PER RG,HG002_23KCWCLT3_4,Number of unique reads (excl. duplicate marked reads),229392265,95.30
MAPPING/ALIGNING PER RG,HG002_23KCWCLT3_4,Reads with mate sequenced,240697896,100.00
MAPPING/ALIGNING PER RG,HG002_23KCWCLT3_4,Reads without mate sequenced,0,0.00
MAPPING/ALIGNING PER RG,HG002_23KCWCLT3_4,QC-failed reads,0,0.00
MAPPING/ALIGNING PER RG,HG002_23KCWCLT3_4,Mapped reads,234405263,97.39
MAPPING/ALIGNING PER RG,HG002_23KCWCLT3_4,Mapped reads adjusted for excluded mapping,234405263,97.39
MAPPING/ALIGNING PER RG,HG002_23KCWCLT3_4,Mapped reads adjusted for filtered mapping,238690109,99.17
MAPPING/ALIGNING PER RG,HG002_23KCWCLT3_4,Mapped reads adjusted for filtered and excluded mapping,238690109,99.17
MAPPING/ALIGNING PER RG,HG002_23KCWCLT3_4,Mapped reads R1,117736911,97.83
MAPPING/ALIGNING PER RG,HG002_23KCWCLT3_4,Mapped reads R2,116668352,96.94
MAPPING/ALIGNING PER RG,HG002_23KCWCLT3_4,Number of unique & mapped reads (excl. duplicate marked reads),223099632,92.69
MAPPING/ALIGNING PER RG,HG002_23KCWCLT3_4,Unmapped reads,6292633,2.61
MAPPING/ALIGNING PER RG,HG002_23KCWCLT3_4,Unmapped reads adjusted for filtered mapping,2007787,0.83
MAPPING/ALIGNING PER RG,HG002_23KCWCLT3_4,Unmapped reads adjusted for excluded mapping,6292633,2.61
MAPPING/ALIGNING PER RG,HG002_23KCWCLT3_4,Unmapped reads adjusted for filtered and excluded mapping,2007787,0.83
MAPPING/ALIGNING PER RG,HG002_23KCWCLT3_4,Adjustment of reads matching non-reference decoys,4284846,1.78
MAPPING/ALIGNING PER RG,HG002_23KCWCLT3_4,Adjustment of reads matching filter contigs,NA
MAPPING/ALIGNING PER RG,HG002_23KCWCLT3_4,Filtered rRNA reads,NA
MAPPING/ALIGNING PER RG,HG002_23KCWCLT3_4,Adjustment of reads matching exclude contigs,NA
MAPPING/ALIGNING PER RG,HG002_23KCWCLT3_4,Mitochondrial reads excluded,NA
MAPPING/ALIGNING PER RG,HG002_23KCWCLT3_4,Singleton reads (itself mapped; mate unmapped),1394179,0.58
MAPPING/ALIGNING PER RG,HG002_23KCWCLT3_4,Paired reads (itself & mate mapped),233011084,96.81
MAPPING/ALIGNING PER RG,HG002_23KCWCLT3_4,Properly paired reads,229900366,95.51
MAPPING/ALIGNING PER RG,HG002_23KCWCLT3_4,Not properly paired reads (discordant),3110718,1.29
MAPPING/ALIGNING PER RG,HG002_23KCWCLT3_4,Paired reads mapped to different chromosomes,2773066,1.19
MAPPING/ALIGNING PER RG,HG002_23KCWCLT3_4,Paired reads mapped to different chromosomes (MAPQ>=10),2131053,0.91
MAPPING/ALIGNING PER RG,HG002_23KCWCLT3_4,Reads mapping to multiple locations,13526718,5.62
MAPPING/ALIGNING PER RG,HG002_23KCWCLT3_4,Reads with MAPQ [40:inf),214968885,89.31
MAPPING/ALIGNING PER RG,HG002_23KCWCLT3_4,Reads with MAPQ [30:40),628063,0.26
MAPPING/ALIGNING PER RG,HG002_23KCWCLT3_4,Reads with MAPQ [20:30),1835578,0.76
MAPPING/ALIGNING PER RG,HG002_23KCWCLT3_4,Reads with MAPQ [10:20),2363701,0.98
MAPPING/ALIGNING PER RG,HG002_23KCWCLT3_4,Reads with MAPQ [ 0:10),14609036,6.07
MAPPING/ALIGNING PER RG,HG002_23KCWCLT3_4,Reads with MAPQ NA (Unmapped reads),6292633,2.61
MAPPING/ALIGNING PER RG,HG002_23KCWCLT3_4,Reads with indel R1,3519422,2.99
MAPPING/ALIGNING PER RG,HG002_23KCWCLT3_4,Reads with indel R2,3775054,3.24
MAPPING/ALIGNING PER RG,HG002_23KCWCLT3_4,Reads with splice junction,NA
MAPPING/ALIGNING PER RG,HG002_23KCWCLT3_4,Total bases,35530010125
MAPPING/ALIGNING PER RG,HG002_23KCWCLT3_4,Total bases R1,17759854009
MAPPING/ALIGNING PER RG,HG002_23KCWCLT3_4,Total bases R2,17770156116
MAPPING/ALIGNING PER RG,HG002_23KCWCLT3_4,Mapped bases,34606176557
MAPPING/ALIGNING PER RG,HG002_23KCWCLT3_4,Mapped bases R1,17381467138
MAPPING/ALIGNING PER RG,HG002_23KCWCLT3_4,Mapped bases R2,17224709419
MAPPING/ALIGNING PER RG,HG002_23KCWCLT3_4,Soft-clipped bases,278344187,0.80
MAPPING/ALIGNING PER RG,HG002_23KCWCLT3_4,Soft-clipped bases R1,100937254,0.58
MAPPING/ALIGNING PER RG,HG002_23KCWCLT3_4,Soft-clipped bases R2,177406933,1.03
MAPPING/ALIGNING PER RG,HG002_23KCWCLT3_4,Hard-clipped bases,0,0.00
MAPPING/ALIGNING PER RG,HG002_23KCWCLT3_4,Hard-clipped bases R1,0,0.00
MAPPING/ALIGNING PER RG,HG002_23KCWCLT3_4,Hard-clipped bases R2,0,0.00
MAPPING/ALIGNING PER RG,HG002_23KCWCLT3_4,Mismatched bases R1,62290819,0.36
MAPPING/ALIGNING PER RG,HG002_23KCWCLT3_4,Mismatched bases R2,72468041,0.42
MAPPING/ALIGNING PER RG,HG002_23KCWCLT3_4,Mismatched bases R1 (excl. indels),49805749,0.29
MAPPING/ALIGNING PER RG,HG002_23KCWCLT3_4,Mismatched bases R2 (excl. indels),59146713,0.34
MAPPING/ALIGNING PER RG,HG002_23KCWCLT3_4,Q30 bases,33610436857,94.60
MAPPING/ALIGNING PER RG,HG002_23KCWCLT3_4,Q30 bases R1,16903205051,95.18
MAPPING/ALIGNING PER RG,HG002_23KCWCLT3_4,Q30 bases R2,16707231806,94.02
MAPPING/ALIGNING PER RG,HG002_23KCWCLT3_4,Q30 bases (excl. dups & clipped bases),32026149458
MAPPING/ALIGNING PER RG,HG002_23KCWCLT3_4,Total alignments,235429889
MAPPING/ALIGNING PER RG,HG002_23KCWCLT3_4,Secondary alignments,0
MAPPING/ALIGNING PER RG,HG002_23KCWCLT3_4,Supplementary (chimeric) alignments,1024626
MAPPING/ALIGNING PER RG,HG002_23KCWCLT3_4,Estimated read length,147.61
MAPPING/ALIGNING PER RG,HG002_23KCWCLT3_4,Insert length: mean,292.32
MAPPING/ALIGNING PER RG,HG002_23KCWCLT3_4,Insert length: median,282.00
MAPPING/ALIGNING PER RG,HG002_23KCWCLT3_4,Insert length: standard deviation,108.23
MAPPING/ALIGNING PER RG,HG002_23KCWCLT3_5,Total reads in RG,241281476,100.00
MAPPING/ALIGNING PER RG,HG002_23KCWCLT3_5,Number of duplicate marked reads,11262082,4.67
MAPPING/ALIGNING PER RG,HG002_23KCWCLT3_5,Number of duplicate marked and mate reads removed,NA
MAPPING/ALIGNING PER RG,HG002_23KCWCLT3_5,Number of unique reads (excl. duplicate marked reads),230019394,95.33
MAPPING/ALIGNING PER RG,HG002_23KCWCLT3_5,Reads with mate sequenced,241281476,100.00
MAPPING/ALIGNING PER RG,HG002_23KCWCLT3_5,Reads without mate sequenced,0,0.00
MAPPING/ALIGNING PER RG,HG002_23KCWCLT3_5,QC-failed reads,0,0.00
MAPPING/ALIGNING PER RG,HG002_23KCWCLT3_5,Mapped reads,235006380,97.40
MAPPING/ALIGNING PER RG,HG002_23KCWCLT3_5,Mapped reads adjusted for excluded mapping,235006380,97.40
MAPPING/ALIGNING PER RG,HG002_23KCWCLT3_5,Mapped reads adjusted for filtered mapping,239302742,99.18
MAPPING/ALIGNING PER RG,HG002_23KCWCLT3_5,Mapped reads adjusted for filtered and excluded mapping,239302742,99.18
MAPPING/ALIGNING PER RG,HG002_23KCWCLT3_5,Mapped reads R1,118016808,97.83
MAPPING/ALIGNING PER RG,HG002_23KCWCLT3_5,Mapped reads R2,116989572,96.97
MAPPING/ALIGNING PER RG,HG002_23KCWCLT3_5,Number of unique & mapped reads (excl. duplicate marked reads),223744298,92.73
MAPPING/ALIGNING PER RG,HG002_23KCWCLT3_5,Unmapped reads,6275096,2.60
MAPPING/ALIGNING PER RG,HG002_23KCWCLT3_5,Unmapped reads adjusted for filtered mapping,1978734,0.82
MAPPING/ALIGNING PER RG,HG002_23KCWCLT3_5,Unmapped reads adjusted for excluded mapping,6275096,2.60
MAPPING/ALIGNING PER RG,HG002_23KCWCLT3_5,Unmapped reads adjusted for filtered and excluded mapping,1978734,0.82
MAPPING/ALIGNING PER RG,HG002_23KCWCLT3_5,Adjustment of reads matching non-reference decoys,4296362,1.78
MAPPING/ALIGNING PER RG,HG002_23KCWCLT3_5,Adjustment of reads matching filter contigs,NA
MAPPING/ALIGNING PER RG,HG002_23KCWCLT3_5,Filtered rRNA reads,NA
MAPPING/ALIGNING PER RG,HG002_23KCWCLT3_5,Adjustment of reads matching exclude contigs,NA
MAPPING/ALIGNING PER RG,HG002_23KCWCLT3_5,Mitochondrial reads excluded,NA
MAPPING/ALIGNING PER RG,HG002_23KCWCLT3_5,Singleton reads (itself mapped; mate unmapped),1354294,0.56
MAPPING/ALIGNING PER RG,HG002_23KCWCLT3_5,Paired reads (itself & mate mapped),233652086,96.84
MAPPING/ALIGNING PER RG,HG002_23KCWCLT3_5,Properly paired reads,230571184,95.56
MAPPING/ALIGNING PER RG,HG002_23KCWCLT3_5,Not properly paired reads (discordant),3080902,1.28
MAPPING/ALIGNING PER RG,HG002_23KCWCLT3_5,Paired reads mapped to different chromosomes,2745436,1.18
MAPPING/ALIGNING PER RG,HG002_23KCWCLT3_5,Paired reads mapped to different chromosomes (MAPQ>=10),2106656,0.90
MAPPING/ALIGNING PER RG,HG002_23KCWCLT3_5,Reads mapping to multiple locations,13558354,5.62
MAPPING/ALIGNING PER RG,HG002_23KCWCLT3_5,Reads with MAPQ [40:inf),215528957,89.33
MAPPING/ALIGNING PER RG,HG002_23KCWCLT3_5,Reads with MAPQ [30:40),631848,0.26
MAPPING/ALIGNING PER RG,HG002_23KCWCLT3_5,Reads with MAPQ [20:30),1839920,0.76
MAPPING/ALIGNING PER RG,HG002_23KCWCLT3_5,Reads with MAPQ [10:20),2362810,0.98
MAPPING/ALIGNING PER RG,HG002_23KCWCLT3_5,Reads with MAPQ [ 0:10),14642845,6.07
MAPPING/ALIGNING PER RG,HG002_23KCWCLT3_5,Reads with MAPQ NA (Unmapped reads),6275096,2.60
MAPPING/ALIGNING PER RG,HG002_23KCWCLT3_5,Reads with indel R1,3526198,2.99
MAPPING/ALIGNING PER RG,HG002_23KCWCLT3_5,Reads with indel R2,3787274,3.24
MAPPING/ALIGNING PER RG,HG002_23KCWCLT3_5,Reads with splice junction,NA
MAPPING/ALIGNING PER RG,HG002_23KCWCLT3_5,Total bases,35606612091
MAPPING/ALIGNING PER RG,HG002_23KCWCLT3_5,Total bases R1,17798151733
MAPPING/ALIGNING PER RG,HG002_23KCWCLT3_5,Total bases R2,17808460358
MAPPING/ALIGNING PER RG,HG002_23KCWCLT3_5,Mapped bases,34685754047
MAPPING/ALIGNING PER RG,HG002_23KCWCLT3_5,Mapped bases R1,17418259517
MAPPING/ALIGNING PER RG,HG002_23KCWCLT3_5,Mapped bases R2,17267494530
MAPPING/ALIGNING PER RG,HG002_23KCWCLT3_5,Soft-clipped bases,273627284,0.79
MAPPING/ALIGNING PER RG,HG002_23KCWCLT3_5,Soft-clipped bases R1,101163047,0.58
MAPPING/ALIGNING PER RG,HG002_23KCWCLT3_5,Soft-clipped bases R2,172464237,1.00
MAPPING/ALIGNING PER RG,HG002_23KCWCLT3_5,Hard-clipped bases,0,0.00
MAPPING/ALIGNING PER RG,HG002_23KCWCLT3_5,Hard-clipped bases R1,0,0.00
MAPPING/ALIGNING PER RG,HG002_23KCWCLT3_5,Hard-clipped bases R2,0,0.00
MAPPING/ALIGNING PER RG,HG002_23KCWCLT3_5,Mismatched bases R1,61445773,0.35
MAPPING/ALIGNING PER RG,HG002_23KCWCLT3_5,Mismatched bases R2,69722222,0.40
MAPPING/ALIGNING PER RG,HG002_23KCWCLT3_5,Mismatched bases R1 (excl. indels),48956598,0.28
